Number,Theme,Subtheme,Year,RRP (USD),Value new (USD)
2674-1,Duplo,,1996,10.0,10.0
2695-1,Duplo,,1996,5.0,18.95
2696-1,Duplo,,1996,13.0,26.85
2697-1,Duplo,,1996,16.0,25.68
2699-1,Duplo,,1996,66.0,119.6
2731-1,Duplo,Trains,1996,15.0,30.0
2745-1,Duplo,Trains,1996,100.0,213.49
4002-1,Boats,,1996,13.0,59.43
4012-1,Boats,,1996,20.0,73.8
4022-1,Boats,,1996,30.0,179.95
4532-1,Trains,9V,1996,24.0,149.95
4559-1,Trains,9V,1996,130.0,585.0
4565-1,Trains,9V,1996,140.0,547.04
5029-1,Service Packs,Duplo,1996,12.0,22.75
5087-1,Service Packs,Toolo,1996,2.75,1.27
5089-1,Service Packs,Duplo,1996,12.0,50.18
5090-1,Service Packs,Duplo,1996,12.0,100.0
5128-1,Service Packs,,1996,3.5,13.21
5129-1,Service Packs,Space,1996,4.25,39.99
5130-1,Service Packs,,1996,3.0,8.92
5131-1,Service Packs,,1996,3.5,11.26
5133-1,Service Packs,Town,1996,3.0,14.33
5140-1,Service Packs,,1996,5.0,12.99
5141-1,Service Packs,,1996,5.0,20.0
5142-1,Service Packs,,1996,5.0,40.0
5143-1,Service Packs,,1996,5.0,20.0
5144-1,Service Packs,,1996,5.0,4.99
5145-1,Service Packs,,1996,5.0,40.0
5146-1,Service Packs,,1996,5.0,4.99
5147-1,Service Packs,,1996,5.0,14.99
5149-1,Service Packs,,1996,5.0,16.92
5151-1,Service Packs,,1996,5.0,6.99
5152-1,Service Packs,,1996,5.0,9.29
5289-1,Service Packs,Technic,1996,4.5,8.0
5290-1,Service Packs,Technic,1996,3.5,7.0
5291-1,Service Packs,Technic,1996,3.0,1.61
5293-1,Service Packs,,1996,12.25,55.4
5309-1,Service Packs,Trains,1996,3.0,27.5
5310-1,Service Packs,Trains,1996,5.0,15.0
5396-1,Service Packs,,1996,3.5,8.55
5397-1,Service Packs,,1996,4.0,42.51
5398-1,Service Packs,,1996,4.25,4.5
5571-1,Model Team,,1996,139.0,1470.72
6024-1,Castle,Dark Forest,1996,6.5,132.69
6046-1,Castle,Dark Forest,1996,24.0,550.0
6079-1,Castle,Dark Forest,1996,50.0,550.0
6104-1,Aquazone,Accessories,1996,7.25,49.99
6135-1,Aquazone,Aquasharks,1996,8.75,20.0
6145-1,Aquazone,Aquanauts,1996,12.0,121.25
6190-1,Aquazone,Aquasharks,1996,50.0,480.63
6232-1,Pirates,Imperial Armada,1996,3.0,48.34
6244-1,Pirates,Imperial Armada,1996,8.75,100.67
6248-1,Pirates,,1996,12.0,170.15
6280-1,Pirates,Imperial Armada,1996,50.0,488.0
6289-1,Pirates,,1996,99.0,711.82
6296-1,Pirates,,1996,29.75,331.38
6318-1,Town,Accessories,1996,4.5,28.0
6331-1,Town,Flight,1996,16.5,100.93
6334-1,Town,Leisure,1996,20.0,90.37
6335-1,Town,Racing,1996,30.0,309.07
6337-1,Town,Racing,1996,40.0,312.54
6404-1,Town,Paradisa,1996,8.75,79.99
6418-1,Town,Paradisa,1996,42.0,511.25
6491-1,Time Cruisers,,1996,4.5,20.43
6492-1,Time Cruisers,,1996,22.0,70.0
6493-1,Time Cruisers,,1996,44.0,112.47
6494-1,Time Cruisers,,1996,64.0,237.2
6517-1,Town,Leisure,1996,3.0,10.74
6518-1,Town,Coastguard,1996,3.5,15.14
6545-1,Town,Police,1996,26.5,62.62
6546-1,Town,Racing,1996,4.0,33.66
6563-1,Town,Leisure,1996,27.5,118.87
6581-1,Town,Construction,1996,13.25,54.59
6598-1,Town,Police,1996,66.0,270.69
6615-1,Town,Flight,1996,8.75,56.4
6625-1,Town,Police,1996,6.75,80.0
6712-1,Western,Cowboys,1996,4.0,81.1
6716-1,Western,Cowboys,1996,8.0,152.52
6755-1,Western,Cowboys,1996,25.0,375.0
6761-1,Western,Cowboys,1996,40.0,544.12
6765-1,Western,Cowboys,1996,50.0,588.15
6769-1,Western,Cowboys,1996,85.0,400.0
6815-1,Space,Exploriens,1996,3.0,25.0
6854-1,Space,Exploriens,1996,6.0,112.59
6856-1,Space,Exploriens,1996,8.0,37.91
6899-1,Space,Exploriens,1996,15.0,65.03
6938-1,Space,Exploriens,1996,24.0,137.63
6958-1,Space,Exploriens,1996,40.0,338.54
6982-1,Space,Exploriens,1996,80.0,312.0
8207-1,Technic,,1996,8.0,23.48
8230-1,Technic,,1996,22.0,40.0
8244-1,Technic,,1996,33.0,39.0
8286-1,Technic,,1996,84.0,197.13
8408-1,Technic,,1996,30.0,60.0
8425-1,Technic,,1996,49.5,110.23
8443-1,Technic,,1996,59.0,274.45
8456-1,Technic,,1996,74.0,132.1
8480-1,Technic,,1996,158.0,742.0
9293-1,Dacta,,1996,31.5,83.0
9833-1,Dacta,,1996,23.99,6.71
1710-1,Town,Leisure,1994,2.0,15.99
1711-1,Space,Ice Planet 2002,1994,2.0,60.0
1712-1,Castle,Dragon Knights,1994,2.0,57.59
1720-1,Town,Bonus/Value Pack,1994,10.0,49.0
1721-1,Town,Bonus/Value Pack,1994,15.0,160.0
1723-1,Assorted,Bonus/Value Pack,1994,8.0,339.85
1906-1,Castle,Dragon Knights,1994,20.0,300.0
2621-1,Duplo,,1994,9.0,21.82
2682-1,Duplo,,1994,13.0,100.45
2738-1,Duplo,Trains,1994,17.0,36.52
2784-1,Duplo,,1994,6.0,38.0
2787-1,Duplo,,1994,9.0,40.05
2794-1,Duplo,,1994,84.0,246.15
4525-1,Trains,9V,1994,10.0,115.6
4544-1,Trains,9V,1994,18.75,152.34
4564-1,Trains,9V,1994,134.0,838.71
5121-1,Service Packs,,1994,4.25,30.31
5122-1,Service Packs,Pirates,1994,3.0,59.5
5124-1,Service Packs,,1994,3.5,13.85
