Number,Theme,Subtheme,Year,RRP (USD),Value used (USD)
6835-1,Space,Spyrius,1994,4.0,8.57
6889-1,Space,Spyrius,1994,12.0,19.37
6939-1,Space,Spyrius,1994,27.0,49.28
6949-1,Space,Spyrius,1994,36.0,66.92
6959-1,Space,Spyrius,1994,36.0,108.21
6991-1,Space,Unitron,1994,178.0,613.23
8032-1,Technic,Universal,1994,26.5,20.42
8062-1,Technic,Universal,1994,68.0,46.15
8808-1,Technic,,1994,8.75,7.0
8858-1,Technic,,1994,69.0,108.53
8880-1,Technic,,1994,130.0,204.1
1714-1,Space,Spyrius,1995,1.99,9.75
1746-1,Castle,Dragon Knights,1995,2.5,20.39
1785-1,Space,Miscellaneous,1995,10.0,17.53
1787-1,Space,Unitron,1995,18.0,53.46
1788-1,Pirates,,1995,22.0,118.28
1789-1,Space,Unitron,1995,27.0,134.79
1807-1,Town,Seasonal,1995,2.0,5.94
1819-1,Basic,,1995,20.0,25.0
1822-1,Aquazone,Aquanauts,1995,20.0,41.47
2659-1,Duplo,,1995,8.0,10.52
2663-1,Duplo,,1995,15.0,18.99
2690-1,Duplo,,1995,8.0,9.47
2691-1,Duplo,,1995,18.75,21.31
2925-1,Duplo,Toolo,1995,25.0,38.03
4130-1,Freestyle,,1995,2.0,2.79
4131-1,Freestyle,,1995,4.0,4.99
4133-1,Freestyle,,1995,16.5,23.17
4144-1,Freestyle,,1995,22.0,10.74
4150-1,Freestyle,,1995,3.5,4.4
4151-1,Freestyle,,1995,13.0,23.17
4152-1,Freestyle,,1995,20.0,10.63
4153-1,Freestyle,,1995,38.0,43.0
4161-1,Freestyle,,1995,20.0,35.12
4162-1,Freestyle,,1995,25.0,35.0
4163-1,Freestyle,,1995,45.0,33.88
4552-1,Trains,9V,1995,38.5,82.56
4555-1,Trains,9V,1995,66.0,154.21
5126-1,Service Packs,,1995,3.5,11.61
5160-1,Service Packs,Aquazone,1995,3.0,14.74
5541-1,Model Team,,1995,39.5,105.35
5810-1,Belville,,1995,5.5,7.18
5830-1,Belville,,1995,11.0,10.2
5840-1,Belville,,1995,19.75,11.8
6008-1,Castle,Royal Knights,1995,3.0,14.87
6036-1,Castle,Royal Knights,1995,8.0,21.65
6044-1,Castle,Royal Knights,1995,16.5,46.69
6078-1,Castle,Royal Knights,1995,30.0,92.69
6090-1,Castle,Royal Knights,1995,95.0,316.55
6115-1,Aquazone,Aquasharks,1995,3.5,3.85
6125-1,Aquazone,Aquanauts,1995,4.0,5.64
6155-1,Aquazone,Aquasharks,1995,22.0,23.75
6175-1,Aquazone,Aquanauts,1995,33.0,38.86
6195-1,Aquazone,Aquanauts,1995,89.0,118.52
6254-1,Pirates,,1995,15.0,42.66
6263-1,Pirates,Imperial Guards,1995,27.5,113.14
6279-1,Pirates,,1995,53.0,154.2
6336-1,Town,Launch Command,1995,16.5,18.1
6338-1,Town,Coastguard,1995,49.5,93.55
6339-1,Town,Launch Command,1995,66.0,125.55
6414-1,Town,Paradisa,1995,33.0,108.58
6484-1,Town,Rescue,1995,49.5,76.34
6516-1,Town,Launch Command,1995,3.0,4.28
6525-1,Town,Fire,1995,4.5,5.41
6535-1,Town,Construction,1995,4.5,6.67
6544-1,Town,Launch Command,1995,38.5,95.29
6562-1,Town,Shops and Services,1995,24.5,32.52
6596-1,Town,Boats,1995,12.0,14.94
6614-1,Town,Launch Command,1995,9.25,11.6
6639-1,Town,Racing,1995,7.25,6.18
6649-1,Town,Maintenance,1995,6.75,10.94
8210-1,Technic,,1995,20.0,9.19
8235-1,Technic,,1995,30.0,14.68
8280-1,Technic,,1995,55.0,57.79
8412-1,Technic,,1995,29.75,25.17
8422-1,Technic,,1995,33.0,33.99
8440-1,Technic,,1995,54.0,52.07
8460-1,Technic,,1995,99.0,91.18
8485-1,Technic,,1995,219.0,203.13
9616-1,Dacta,Technic,1995,15.0,16.26
10278-1,Creator Expert,Modular Buildings Collection,2021,199.99,158.39
10280-1,Creator Expert,Botanical Collection,2021,49.99,45.0
10281-1,Creator Expert,Botanical Collection,2021,49.99,39.95
10283-1,Creator Expert,Space,2021,199.99,151.0
10284-1,Creator Expert,Buildings,2021,349.99,302.7
10289-1,Creator Expert,Botanical Collection,2021,99.99,68.0
