Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"76199-1","Marvel Super Heroes","Spider-Man",2021,"Carnage",,546,54.99,59.99,79.99,59.99,5702016989687,673419345590,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,63.9200,45.7800,"01/05/2021","31/12/2022"
"76200-1","Marvel Super Heroes","Avengers: Endgame",2021,"Bro Thor's New Asgard",3,265,24.99,29.99,39.99,29.99,5702016989700,673419345538,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,28.6000,26.7400,"01/08/2021","31/12/2022"
"76201-1","Marvel Super Heroes","What If...?",2021,"Captain Carter & The Hydra Stomper",3,343,24.99,29.99,39.99,29.99,5702016989502,673419345583,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,36.3800,25.0000,"01/08/2021","31/12/2022"
"76237-1","Marvel Super Heroes","Avengers: Endgame",2021,"Sanctuary II: Endgame Battle",3,322,34.99,39.99,49.99,39.99,5702017072432,,35.4,19.1,5.9,,"",0,0,0,,0,0,,,,,,,,,39.5900,29.9900,"01/10/2021","31/12/2022"
"76238-1","DC Comics Super Heroes","Batman Classic TV Series",2021,"Classic TV Series Batman Cowl",,372,54.99,59.99,79.99,59.99,5702017072449,,19.1,35.4,9.1,,"",0,0,0,,0,0,,,,,,,,,60.5600,,"01/10/2021","31/12/2022"
"76239-1","DC Comics Super Heroes","The Dark Knight Trilogy",2021,"Batmobile Tumbler: Scarecrow Showdown",2,422,34.99,39.99,49.99,39.99,5702017100098,,26.2,22.2,9.5,,"",0,0,0,,0,0,,,,,,,,,44.1800,34.9900,"01/10/2021","31/12/2022"
"76240-1","DC Comics Super Heroes","The Dark Knight Trilogy",2021,"Batmobile Tumbler",2,2049,199.99,229.99,329.99,229.99,5702017100104,,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,197.0600,,"01/11/2021","31/12/2023"
"76382-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Transfiguration Class",3,241,24.99,29.99,39.99,29.99,5702016913576,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,25.4500,18.5000,"01/01/2021","31/12/2022"
"76383-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Potions Class",3,271,24.99,29.99,39.99,29.99,5702016912944,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,27.4900,17.8500,"01/01/2021","31/12/2022"
"76384-1","Harry Potter","Hogwarts Moments",2021,"Hogwarts Moment: Herbology Class",3,233,27.99,29.99,39.99,29.99,5702016912951,,19.1,26.2,6.1,,"",0,0,0,,0,0,,,,,,,,,28.5400,27.7900,"01/01/2021","31/12/2021"
