Number,Theme,Subtheme,Year,RRP (USD),Value new (USD),Minifigs,Pieces,Launch date,Retired Date
4137-1,Freestyle,,1997,15.0,18.59,,131.0,,
4139-1,Freestyle,,1997,23.0,45.97,,249.0,,
4157-1,Freestyle,,1997,1.5,7.98,,33.0,,
5201-1,Service Packs,Technic,1997,4.0,3.86,,20.0,,
5202-1,Service Packs,Technic,1997,4.0,5.51,,8.0,,
5227-1,Service Packs,,1997,3.0,16.26,,8.0,,
5228-1,Service Packs,Technic,1997,4.5,5.37,,26.0,,
5229-1,Service Packs,Technic,1997,4.0,13.46,,23.0,,
5391-1,Service Packs,,1997,5.0,12.39,,1.0,,
5392-1,Service Packs,Western,1997,5.0,33.17,,34.0,,
5393-1,Service Packs,,1997,3.0,15.63,,31.0,,
5394-1,Service Packs,,1997,4.5,39.57,,12.0,,
5561-1,Model Team,,1997,88.0,325.0,,761.0,,
6007-1,Castle,Fright Knights,1997,4.5,112.79,1.0,12.0,,
6027-1,Castle,Fright Knights,1997,6.75,49.78,2.0,55.0,01/01/1997,31/12/1998
6037-1,Castle,Fright Knights,1997,8.0,53.65,1.0,56.0,01/01/1997,31/12/1998
6087-1,Castle,Fright Knights,1997,44.0,360.48,6.0,250.0,01/01/1997,31/12/1998
6097-1,Castle,Fright Knights,1997,80.0,419.98,8.0,601.0,01/01/1997,31/12/1998
6099-1,Castle,Fright Knights,1997,20.0,247.86,3.0,140.0,,
6204-1,Pirates,Accessories,1997,6.0,150.0,5.0,36.0,,
6249-1,Pirates,,1997,22.0,399.99,3.0,156.0,,
6250-1,Pirates,,1997,33.0,752.42,3.0,154.0,,
6281-1,Pirates,,1997,73.0,1408.73,6.0,395.0,,
6320-1,Town,Accessories,1997,6.0,37.99,,2.0,,
6321-1,Town,Accessories,1997,6.0,23.53,,2.0,,
6322-1,Town,Accessories,1997,6.0,19.99,,2.0,,
6323-1,Town,Accessories,1997,6.99,13.89,,2.0,,
6406-1,Town,Racing,1997,2.0,18.07,1.0,22.0,,
6407-1,Town,Fire,1997,5.5,11.87,1.0,24.0,01/05/1997,31/12/1998
6417-1,Town,Paradisa,1997,4.0,39.66,1.0,36.0,01/01/1997,31/12/1997
6441-1,Town,Divers,1997,60.0,213.58,5.0,433.0,01/01/1997,31/12/1998
6442-1,Town,Divers,1997,20.0,138.72,3.0,147.0,01/01/1997,31/12/1998
6444-1,Town,Outback,1997,20.0,208.55,3.0,167.0,,
6486-1,Town,Fire,1997,10.0,28.29,1.0,64.0,01/05/1997,31/12/1998
6487-1,Town,Outback,1997,6.0,23.99,1.0,67.0,01/01/1997,31/12/1998
6489-1,Town,Paradisa,1997,13.25,235.2,2.0,84.0,,
6490-1,Town,Outback,1997,15.0,124.04,1.0,117.0,,
6495-1,Time Cruisers,Time Twisters,1997,10.0,34.38,1.0,81.0,01/01/1997,31/12/1998
6496-1,Time Cruisers,Time Twisters,1997,22.0,162.67,2.0,147.0,01/01/1997,31/12/1998
6497-1,Time Cruisers,Time Twisters,1997,38.5,140.14,4.0,300.0,01/01/1997,31/12/1998
6499-1,Time Cruisers,Time Twisters,1997,10.0,34.83,1.0,80.0,,
6547-1,Town,Paradisa,1997,27.5,349.95,5.0,176.0,,
6548-1,Town,City,1997,24.0,71.8,3.0,120.0,01/05/1997,31/12/1998
6549-1,Town,Vehicles,1997,30.0,73.0,4.0,181.0,,
6550-1,Town,Outback,1997,4.0,30.81,1.0,48.0,01/01/1997,31/12/1998
6553-1,Town,Outback,1997,12.0,44.0,3.0,133.0,,
6554-1,Town,Fire,1997,44.0,95.0,4.0,250.0,01/05/1997,31/12/1998
6555-1,Town,Divers,1997,4.5,44.9,1.0,30.0,01/01/1997,31/12/1998
6556-1,Town,Divers,1997,8.75,25.28,2.0,72.0,01/01/1997,31/12/1998
6557-1,Town,Divers,1997,22.0,199.0,3.0,139.0,,
6558-1,Town,Divers,1997,30.0,102.84,3.0,185.0,01/01/1997,31/12/1998
6559-1,Town,Divers,1997,44.0,210.0,5.0,344.0,01/01/1997,31/12/1998
6560-1,Town,Divers,1997,79.0,396.59,7.0,464.0,01/01/1997,31/12/1998
6564-1,Town,Maintenance,1997,7.25,15.62,1.0,34.0,01/05/1997,31/12/1998
6565-1,Town,Construction,1997,16.5,27.98,3.0,73.0,01/05/1997,31/12/1998
6566-1,Town,City,1997,15.0,81.14,2.0,96.0,01/01/1997,31/12/1998
6599-1,Town,Divers,1997,10.0,44.45,2.0,55.0,,
6706-1,Western,Cowboys,1997,6.0,73.71,3.0,25.0,,
6709-1,Western,Indians,1997,4.0,52.84,1.0,16.0,,
6718-1,Western,Indians,1997,8.0,91.15,2.0,71.0,01/08/1997,31/12/1998
6746-1,Western,Indians,1997,20.0,274.32,3.0,131.0,01/08/1997,31/12/1998
6748-1,Western,Indians,1997,40.0,450.64,6.0,250.0,01/06/1997,31/12/1998
6766-1,Western,Indians,1997,60.0,399.98,7.0,343.0,01/08/1997,31/12/1998
6790-1,Western,Cowboys,1997,2.0,27.31,1.0,19.0,,
6791-1,Western,Cowboys,1997,2.0,20.33,1.0,19.0,,
6799-1,Western,Cowboys,1997,10.0,149.0,4.0,69.0,01/01/1997,31/12/1997
6816-1,Space,UFO,1997,2.0,19.98,1.0,19.0,,
6818-1,Space,UFO,1997,3.0,18.42,1.0,35.0,01/09/1997,31/12/1998
6829-1,Space,UFO,1997,6.0,46.11,1.0,52.0,01/09/1997,31/12/1998
6836-1,Space,UFO,1997,4.0,30.0,1.0,40.0,01/09/1997,31/12/1998
6900-1,Space,UFO,1997,22.0,169.56,1.0,114.0,,
6915-1,Space,UFO,1997,30.0,284.74,2.0,236.0,01/09/1997,31/12/1998
6975-1,Space,UFO,1997,60.0,559.63,4.0,369.0,01/09/1997,31/12/1998
6979-1,Space,UFO,1997,80.0,354.29,3.0,292.0,01/09/1997,31/12/1998
6999-1,Space,UFO,1997,20.0,168.31,1.0,114.0,01/08/1997,31/12/1997
8205-1,Technic,,1997,7.0,23.73,,64.0,01/01/1997,31/12/1999
8215-1,Technic,,1997,8.0,38.72,,108.0,01/01/1997,31/12/1999
8216-1,Technic,,1997,10.0,32.69,,91.0,01/01/1997,31/12/1999
8229-1,Technic,,1997,22.0,44.95,1.0,186.0,01/01/1997,31/12/1999
8232-1,Technic,,1997,25.0,69.64,1.0,280.0,,
8250-1,Technic,,1997,49.5,125.55,1.0,383.0,,
8277-1,Technic,,1997,40.0,143.66,,546.0,01/01/1997,31/12/1998
8299-1,Technic,,1997,50.0,108.62,1.0,0.0,,
8414-1,Technic,,1997,30.0,64.95,,244.0,01/01/1997,31/12/1999
8437-1,Technic,,1997,54.0,112.08,,419.0,01/08/1997,31/12/1998
8459-1,Technic,,1997,82.0,322.64,,591.0,01/08/1997,31/12/1999
8479-1,Technic,,1997,164.0,705.23,,1280.0,01/08/1997,31/12/1999
8735-1,Technic,Supplementary,1997,40.0,34.22,,60.0,01/08/1997,31/12/2003
9291-1,Dacta,,1997,59.5,167.25,,822.0,,
9376-1,Dacta,Castle,1997,63.5,195.0,14.0,321.0,,
9615-1,Dacta,Technic,1997,32.0,44.55,,3.0,,
9630-1,Dacta,Technic,1997,80.0,136.16,,277.0,,
624-1,Basic,Supplementaries,1996,26.0,32.44,,27.0,,
626-1,Basic,Supplementaries,1996,4.99,7.25,,1.0,,
627-1,Basic,Supplementaries,1996,5.5,11.99,,1.0,,
628-1,Basic,Supplementaries,1996,14.99,15.16,,1.0,,
630-1,Basic,Supplementaries,1996,2.49,1.25,,1.0,,
639-1,Basic,Supplementaries,1996,19.75,42.43,,400.0,,
1728-1,Aquazone,Aquanauts,1996,10.0,54.0,1.0,97.0,,
1737-1,Space,Exploriens,1996,20.0,89.98,2.0,196.0,,
1747-1,Pirates,,1996,2.0,36.03,1.0,22.0,,
1749-1,Aquazone,Aquanauts,1996,2.0,9.82,1.0,16.0,,
1802-1,Pirates,,1996,2.0,24.99,1.0,22.0,,
1804-1,Castle,Royal Knights,1996,2.0,37.2,1.0,21.0,,
1808-1,Town,Special,1996,10.0,113.94,2.0,122.0,,
1817-1,Town,Special,1996,15.0,53.95,3.0,135.0,01/03/1996,31/12/2001
1821-1,Town,Racing,1996,11.0,125.0,3.0,196.0,,
1854-1,Town,Special,1996,23.0,171.59,2.0,144.0,,
2150-1,Trains,9V,1996,73.0,493.81,8.0,599.0,,
2673-1,Duplo,,1996,7.0,5.0,1.0,5.0,,
2674-1,Duplo,,1996,10.0,10.0,2.0,7.0,,
2695-1,Duplo,,1996,5.0,18.95,1.0,3.0,,
2696-1,Duplo,,1996,13.0,26.85,1.0,10.0,,
2697-1,Duplo,,1996,16.0,25.68,1.0,16.0,,
2699-1,Duplo,,1996,66.0,119.6,4.0,64.0,,
2731-1,Duplo,Trains,1996,15.0,30.0,1.0,9.0,,
2745-1,Duplo,Trains,1996,100.0,213.49,3.0,83.0,,
4002-1,Boats,,1996,13.0,59.43,1.0,54.0,,
4012-1,Boats,,1996,20.0,73.8,2.0,99.0,,
4022-1,Boats,,1996,30.0,179.95,3.0,193.0,,
4532-1,Trains,9V,1996,24.0,149.95,1.0,135.0,,
4559-1,Trains,9V,1996,130.0,585.0,7.0,842.0,01/07/1996,30/01/1999
4565-1,Trains,9V,1996,140.0,547.04,3.0,914.0,01/09/1996,31/12/2002
5029-1,Service Packs,Duplo,1996,12.0,22.75,6.0,5.0,,
5087-1,Service Packs,Toolo,1996,2.75,1.27,,1.0,,
5089-1,Service Packs,Duplo,1996,12.0,50.18,6.0,5.0,,
5090-1,Service Packs,Duplo,1996,12.0,100.0,6.0,5.0,,
5128-1,Service Packs,,1996,3.5,13.21,,80.0,,
5129-1,Service Packs,Space,1996,4.25,39.99,,25.0,,
5130-1,Service Packs,,1996,3.0,8.92,,14.0,,
5131-1,Service Packs,,1996,3.5,11.26,,27.0,,
5133-1,Service Packs,Town,1996,3.0,14.33,,47.0,,
5140-1,Service Packs,,1996,5.0,12.99,,62.0,,
5141-1,Service Packs,,1996,5.0,20.0,,62.0,,
5142-1,Service Packs,,1996,5.0,40.0,,62.0,,
5143-1,Service Packs,,1996,5.0,20.0,,62.0,,
5144-1,Service Packs,,1996,5.0,4.99,,62.0,,
5145-1,Service Packs,,1996,5.0,40.0,,62.0,,
5146-1,Service Packs,,1996,5.0,4.99,,42.0,,
5147-1,Service Packs,,1996,5.0,14.99,,42.0,,
5149-1,Service Packs,,1996,5.0,16.92,,38.0,,
5151-1,Service Packs,,1996,5.0,6.99,,59.0,,
5152-1,Service Packs,,1996,5.0,9.29,,60.0,,
5289-1,Service Packs,Technic,1996,4.5,8.0,,64.0,,
5290-1,Service Packs,Technic,1996,3.5,7.0,,16.0,,
5291-1,Service Packs,Technic,1996,3.0,1.61,,12.0,,
5293-1,Service Packs,,1996,12.25,55.4,,1.0,,
5309-1,Service Packs,Trains,1996,3.0,27.5,,1.0,,
5310-1,Service Packs,Trains,1996,5.0,15.0,,4.0,,
5396-1,Service Packs,,1996,3.5,8.55,,8.0,,
5397-1,Service Packs,,1996,4.0,42.51,,12.0,,
5398-1,Service Packs,,1996,4.25,4.5,,43.0,,
5571-1,Model Team,,1996,139.0,1470.72,,1757.0,,
6024-1,Castle,Dark Forest,1996,6.5,132.69,2.0,59.0,01/06/1996,31/12/1998
6046-1,Castle,Dark Forest,1996,24.0,550.0,5.0,216.0,,
6079-1,Castle,Dark Forest,1996,50.0,550.0,7.0,464.0,,
6104-1,Aquazone,Accessories,1996,7.25,49.99,2.0,20.0,,
6135-1,Aquazone,Aquasharks,1996,8.75,20.0,1.0,57.0,01/01/1996,31/12/1997
