set_number,min_value_new,max_value_new,mean_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used,RRP (USD),Year,Theme,Pieces
8684-14,6.9,37.31986697869196,15.312623060704112,27.0,4.482109487591453,11.151171774401236,6.649801276859715,21.0,1.99,2010,Collectable Minifigures,7.0
8684-15,11.65951919739332,49.75982263825594,19.83768595793028,14.0,6.709067976276736,12.092846185714766,9.905557157277656,16.0,1.99,2010,Collectable Minifigures,6.0
8684-16,18.751844993693474,62.199778297819925,28.15988249084016,52.0,10.61119926969929,17.231987091524676,13.726595563200751,8.0,1.99,2010,Collectable Minifigures,6.0
8684-2,33.14638542551132,87.0796896169479,52.91053078073482,18.0,22.99,28.85487464869162,26.319987993473763,9.0,1.99,2010,Collectable Minifigures,8.0
8684-3,5.279423126448622,37.3243458106126,9.662754821609363,96.0,4.137331834699802,11.08510900357187,7.046315542290905,35.0,1.99,2010,Collectable Minifigures,6.0
8684-4,7.448123817610345,41.98904925595405,20.178279776677385,27.0,6.662262481944709,16.908710208377656,9.052653302049832,17.0,1.99,2010,Collectable Minifigures,6.0
8684-5,16.4865802998578,62.199778297819925,31.23408677857746,6.0,13.58049539757937,29.38673593926704,18.427672659449485,13.0,1.99,2010,Collectable Minifigures,7.0
8684-6,4.982700511706547,37.31986697869196,9.669811592447468,70.0,4.209269248316024,9.553712798218072,5.8577310852970506,10.0,1.99,2010,Collectable Minifigures,8.0
8684-7,7.911,37.31986697869196,15.105180407657802,16.0,5.805,10.094052821584649,7.1002696262335565,13.0,1.99,2010,Collectable Minifigures,8.0
8684-8,7.781970462103484,37.31986697869196,14.18287661450598,18.0,5.547135603454137,11.08510900357187,7.414124444408045,17.0,1.99,2010,Collectable Minifigures,6.0
8684-9,12.500186203095442,49.75982263825594,20.38547174630634,23.0,5.681398291325622,18.617384586099945,11.5981650125766,28.0,1.99,2010,Collectable Minifigures,7.0
8685-1,135.48466559921172,135.48466559921172,135.48466559921172,2.0,64.22,64.22,64.22,2.0,12.99,2008,Bionicle,54.0
8689-1,168.73999260992733,168.73999260992733,168.73999260992733,1.0,31.5,68.361,43.36084262927493,5.0,12.99,2008,Bionicle,73.0
8690-1,162.58159871905406,162.58159871905406,162.58159871905406,2.0,29.78504714662377,37.24061908805172,33.12569680073017,5.0,12.99,2008,Bionicle,62.0
8695-1,98.53430225397216,98.53430225397216,98.53430225397216,1.0,17.1,28.888465888096384,21.529306322200195,5.0,12.99,2008,Bionicle,51.0
8696-1,73.90072669047912,73.90072669047912,73.90072669047912,1.0,17.1,34.24067003325533,23.1521578027335,6.0,12.99,2008,Bionicle,54.0
8699-1,260.6843336163621,313.5182344444569,287.1012840304095,2.0,186.0,248.903,217.4515,2.0,29.99,2008,Bionicle,267.0
8724-1,20.154743642857945,20.154743642857945,20.154743642857945,1.0,5.598539900793873,18.62030954402586,10.261989986622508,14.0,3.99,2006,Bionicle,21.0
8728-1,105.1263987255076,105.1263987255076,105.1263987255076,1.0,22.17021800714374,43.66861122619221,29.53484658823687,7.0,9.99,2006,Bionicle,46.0
8733-1,475.8758915674792,475.8758915674792,475.8758915674792,1.0,81.0,112.08276881389332,97.05635266322544,9.0,20.0,2006,Bionicle,196.0
8734-1,404.2145808373176,404.2145808373176,404.2145808373176,1.0,109.42736690165329,314.917,179.97077673553932,6.0,19.99,2006,Bionicle,193.0
8736-1,99.7659810321468,99.7659810321468,99.7659810321468,2.0,7.837955861111422,33.516557179246554,15.86601036069206,10.0,8.99,2005,Bionicle,48.0
8738-1,42.54890324603343,54.86569102777995,47.40097116005479,3.0,5.038685910714486,22.1142326081358,14.279714595214198,13.0,9.0,2005,Bionicle,48.0
8740-1,42.54890324603343,42.54890324603343,42.54890324603343,1.0,13.548466559921172,19.70686045079444,15.659116102520462,4.0,9.0,2005,Bionicle,48.0
8741-1,49.26715112698608,50.6219977829782,49.94457445498214,2.0,12.661810489937588,22.17021800714374,16.52944558066035,13.0,9.0,2005,Bionicle,48.0
8743-1,68.7,68.7,68.7,1.0,6.6,22.17021800714374,14.924345125810085,6.0,9.0,2005,Bionicle,47.0
8745-1,43.10875723611282,43.10875723611282,43.10875723611282,1.0,10.734508762042775,22.17021800714374,16.513532419699636,8.0,9.0,2005,Bionicle,48.0
8746-1,43.66861122619221,43.66861122619221,43.66861122619221,1.0,11.4,22.39415960317549,17.134956491623587,11.0,9.0,2005,Bionicle,48.0
8756-1,184.7518167261978,184.7518167261978,184.7518167261978,1.0,44.78831920635098,83.3,69.77894657873227,6.0,20.0,2005,Bionicle,211.0
8758-1,95.17517831349583,95.17517831349583,95.17517831349583,1.0,64.04729646508191,64.04729646508191,64.04729646508191,1.0,50.0,2005,Bionicle,410.0
8759-1,201.54743642857943,201.54743642857943,201.54743642857943,1.0,78.37955861111422,123.1678778174652,104.4230978975782,3.0,80.0,2005,Bionicle,856.0
8761-1,235.13867583334263,235.13867583334263,235.13867583334263,1.0,95.0,110.85109003571868,102.5214564041698,4.0,20.0,2005,Bionicle,233.0
8762-1,33.59123940476324,100.0,66.79561970238161,2.0,17.010603634572103,61.74,27.75947567807649,21.0,8.99,2005,Bionicle,53.0
8769-1,95.17517831349583,147.80145338095824,121.48831584722704,2.0,27.032502529416245,27.032502529416245,27.032502529416245,1.0,40.0,2005,Bionicle,325.0
8780-1,221.20257407159136,221.20257407159136,221.20257407159136,1.0,68.26597527254674,68.26597527254674,68.26597527254674,1.0,50.0,2004,Castle,442.0
