set_number,min_value_new,max_value_new,mean_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used
10273-1,305.0006703311436,538.94,381.6574966180006,147.0,268.3627190510694,390.9892598054551,325.3248694904425,4.0
10274-1,159.95028496568094,479.99,284.22173768368947,142.0,167.72669940691839,206.8596961819323,179.19741357614276,4.0
10277-1,135.0,559.8427929995858,206.89216559383374,78.0,134.36495761905294,197.06860450794431,164.79896795887748,4.0
10278-1,263.55985049244674,434.43549922180296,329.5277191446297,64.0,279.9269950396936,279.9269950396936,279.9269950396936,1.0
10282-1,61.65995536589981,156.75911722222844,113.47713835878092,34.0,42.0,61.583938908732605,51.7919694543663,2.0
10283-1,183.80831071807526,600.0,267.4105479012406,251.0,174.99,222.82188805159615,198.90594402579808,2.0
10284-1,275.92830026240165,472.99,394.62484472920215,13.0,291.06808944227345,291.06808944227345,291.06808944227345,1.0
10290-1,100.1974274695872,500.0,213.9660152944156,63.0,106.37225811508358,156.74792014242686,123.16414545753135,3.0
10292-1,264.8,374.2223192428236,312.31575731574577,5.0,291.1240748412814,291.1240748412814,291.1240748412814,1.0
10294-1,552.3704334861858,1583.3132061294045,1091.2455402805808,11.0,742.3081642212513,742.3081642212513,742.3081642212513,1.0
10295-1,135.0,450.0,221.57881195465595,144.0,100.77371821428972,145.23841444340172,123.00606632884572,2.0
10297-1,194.76424548477758,427.5,296.01328971261034,114.0,200.0,302.32115464286915,251.16057732143457,2.0
10298-1,61.11366155706592,186.2030954402586,120.34389200853221,142.0,74.99,104.12771174593313,93.11052532338114,3.0
1030-1,179.99,179.99,179.99,1.0,43.10875723611282,80.44172503555806,59.190506384056235,7.0
10300-1,150.0,401.2022649813488,250.212195972594,74.0,179.15327682540394,206.8596961819323,193.0064865036681,2.0
10302-1,135.95718236683874,413.98,223.337081760802,99.0,184.7518167261978,184.7518167261978,184.7518167261978,1.0
10303-1,278.49746506931416,615.839389087326,515.8192096566684,27.0,288.48259214302277,416.5108469837325,338.44016860925325,3.0
10304-1,108.93258781308967,399.98,198.38404988499732,244.0,161.01763143064167,167.3963430337368,164.20698723218925,2.0
10307-1,451.9160895359074,988.9,759.2906889635375,7.0,391.8977930555711,783.3379000772627,591.7418977109446,3.0
10308-1,80.67177493705226,182.47903353145344,143.65725116887938,53.0,93.1015477201293,93.1015477201293,93.1015477201293,1.0
1031-1,25.5,25.5,25.5,2.0,12.076322357298125,23.0,15.774189240824356,9.0
10311-1,47.03669283050981,97.9,63.68547010102998,191.0,73.5,114.0541555967045,93.77707779835225,2.0
10312-1,162.885048758252,372.8627573928719,293.4974566243722,49.0,200.0,200.0,200.0,1.0
10315-1,97.3899606982499,156.75911722222844,114.69362128654787,133.0,63.99131106607397,63.99131106607397,63.99131106607397,1.0
10317-1,241.8468463424739,369.5036334523956,288.3969460764633,62.0,290.47682888680345,290.47682888680345,290.47682888680345,1.0
10318-1,147.47005991677705,335.9123940476324,245.32248487386673,51.0,164.99,223.88561063274696,192.8344399077182,3.0
1032-1,219.0,219.0,219.0,1.0,49.26715112698608,123.16787781746521,78.70433427467822,7.0
10323-1,203.73476918816064,447.88319206350985,307.6543171997156,56.0,180.2166835294416,206.8596961819323,193.53818985568694,2.0
10326-1,231.2248326221243,447.87199498370825,354.52921926208,53.0,250.0,250.0,250.0,1.0
10329-1,28.003896395346167,80.0,54.22822608080668,137.0,43.81021388508708,43.81021388508708,43.81021388508708,1.0
1033-1,19.29,19.29,19.29,4.0,10.035942626163095,14.5,12.267971313081548,8.0
10402-1,11.18588272178616,13.404717816600918,12.217834919910883,3.0,10.0,12.876641771825907,11.438320885912955,3.0
10403-1,15.631123403016494,33.545339881383676,23.666523939231563,10.0,11.172185726415517,11.172185726415517,11.172185726415517,1.0
10404-1,37.24061908805172,50.21,43.72530954402586,2.0,25.0,25.0,25.0,1.0
10497-1,87.208,243.41331780671598,163.5735321623221,83.0,154.51970126191088,154.51970126191088,154.51970126191088,1.0
10507-1,95.17517831349583,95.17517831349583,95.17517831349583,1.0,47.3609305475634,47.3609305475634,47.3609305475634,1.0
10510-1,39.18977930555711,40.86934127579527,40.02956029067619,3.0,19.0,19.0,19.0,1.0
10521-1,5.598539900793873,5.598539900793873,5.598539900793873,3.0,9.013649240278136,9.013649240278136,9.013649240278136,1.0
10529-1,24.63357556349304,24.63357556349304,24.63357556349304,1.0,16.795619702381618,16.795619702381618,16.795619702381618,1.0
10543-1,39.18977930555711,39.18977930555711,39.18977930555711,1.0,13.404717816600918,20.602626834921452,17.003672325761187,2.0
10544-1,67.09067976276735,67.09067976276735,67.09067976276735,1.0,27.575316678274184,36.95036334523956,32.26284001175687,2.0
10558-1,27.992699503969366,27.992699503969366,27.992699503969366,1.0,8.386334970345919,22.394159603175492,17.12770713614762,5.0
10567-1,27.992699503969366,27.992699503969366,27.992699503969366,1.0,18.78539033357486,18.78539033357486,18.78539033357486,1.0
10573-1,22.394159603175492,22.394159603175492,22.394159603175492,1.0,10.721090626090223,15.45197012619109,13.086530376140658,3.0
10592-1,27.981502424167775,27.981502424167775,27.981502424167775,1.0,24.63357556349304,28.942790890177633,26.788183226835336,2.0
10602-1,47.027735166668535,47.027735166668535,47.027735166668535,1.0,41.40415326766147,51.50656708730363,46.45536017748255,2.0
10661-1,23.58105006214379,23.58105006214379,23.58105006214379,1.0,3.86523194750809,15.437963138894165,7.030639017280452,5.0
10665-1,7.36,34.95,23.430500808055925,4.0,9.0,14.55620374206407,10.925309282081395,7.0
10672-1,93.5555798107059,93.5555798107059,93.5555798107059,1.0,15.0,35.0,24.640371797618666,9.0
10674-1,47.016538086866944,47.016538086866944,47.016538086866944,2.0,15.0,32.19160442956477,22.397201476521587,3.0
10686-1,36.39050935516018,44.99,40.690254677580086,3.0,25.323620979875173,34.438533155994676,29.881077067934925,2.0
10692-1,12.204,23.58105006214379,17.892525031071898,5.0,8.03746343557953,15.45197012619109,11.74471678088531,2.0
10694-1,25.323620979875173,35.0,30.161810489937587,6.0,9.6489815634812,9.6489815634812,9.6489815634812,1.0
10696-1,13.418135952553472,49.98,29.74036977740365,243.0,9.853430225397217,25.753283543651815,16.43694740437125,7.0
10698-1,19.75,109.96876014735358,58.16704941884003,46.0,27.762,27.762,27.762,1.0
10701-1,10.5,37.3243458106126,17.762602729651405,488.0,16.795619702381618,16.795619702381618,16.795619702381618,6.0
10703-1,58.77347187853408,58.77347187853408,58.77347187853408,1.0,21.834305613096106,21.834305613096106,21.834305613096106,1.0
10704-1,39.99,39.99,39.99,25.0,25.19342955357243,25.19342955357243,25.19342955357243,1.0
10706-1,3.6,10.99,7.102749293650883,3.0,4.025440785766041,4.025440785766041,4.025440785766041,1.0
10707-1,4.491,14.50021834305613,9.122211344881254,4.0,5.150656708730363,5.150656708730363,5.150656708730363,1.0
10708-1,6.348744247500252,6.348744247500252,6.348744247500252,2.0,5.150656708730363,6.0,5.545741937169453,3.0
10709-1,7.47,7.7595763025003075,7.614788151250154,3.0,5.542554501785935,5.542554501785935,5.542554501785935,1.0
10712-1,25.0,37.24061908805172,31.12030954402586,2.0,16.0,24.12754014935768,20.063770074678843,2.0
10713-1,11.75,23.64823254095332,20.615249860494625,87.0,12.31678778174652,12.31678778174652,12.31678778174652,1.0
10717-1,69.892,86.56462394607486,76.41254755213174,5.0,45.0,45.0,45.0,1.0
10720-1,26.81700612480265,26.81700612480265,26.81700612480265,1.0,6.888657504775171,11.197079801587746,9.014467049211037,3.0
